Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/16/2026,04/17/2026,SYRACUSE UNIV ATHLETIC,Entertainment,Sale,-140.00,
04/09/2026,04/09/2026,PAYPAL *THRIVEMARKE 02465,Groceries,Sale,-64.75,
03/27/2026,03/27/2026,Payment Thank You-Mobile,,Payment,513.65,
03/16/2026,03/17/2026,SYRACUSE UNIV ATHLETIC,Entertainment,Sale,-280.00,
02/21/2026,02/22/2026,eBay O*03-14277-18287,Shopping,Sale,-26.98,
02/18/2026,02/19/2026,Payment Thank You-Mobile,,Payment,422.23,
02/17/2026,02/18/2026,ONLYFANS.COM*A,Shopping,Sale,-9.00,
02/08/2026,02/09/2026,UBER   *EATS,Food & Drink,Sale,-35.15,
01/29/2026,01/30/2026,UBER   *EATS,Food & Drink,Sale,-27.59,
01/29/2026,01/29/2026,CARHARTT,Shopping,Sale,-29.11,
01/28/2026,01/29/2026,UBER   *EATS,Food & Drink,Sale,-40.92,
01/25/2026,01/26/2026,TEMU.COM,Shopping,Sale,-254.75,
01/24/2026,01/26/2026,TACO BELL #704801,Food & Drink,Sale,-25.71,
01/19/2026,01/20/2026,Payment Thank You-Mobile,,Payment,423.42,
01/16/2026,01/18/2026,SYRACUSE UNIV ATHLETIC,Entertainment,Sale,-140.00,
12/31/2025,01/01/2026,UBER   *EATS,Food & Drink,Sale,-22.38,
