Trans. Date,Post Date,Description,Amount,Category
01/07/2026,01/07/2026,"LATE FEE",41.00,"Fees"
01/09/2026,01/09/2026,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
01/10/2026,01/10/2026,"INTEREST CHARGE ON PURCHASES",122.56,"Interest"
01/22/2026,01/22/2026,"GOOGLE ADS1363913397 ADS.GOOGLE.COCA",6826.83,"Services"
02/07/2026,02/07/2026,"LATE FEE",41.00,"Fees"
02/10/2026,02/10/2026,"INTEREST CHARGE ON PURCHASES",185.49,"Interest"
02/11/2026,02/11/2026,"AUTOMATIC STATEMENT CREDIT",-68.27,"Awards and Rebate Credits"
02/17/2026,02/17/2026,"INTERNET PAYMENT - THANK YOU",-410.73,"Payments and Credits"
03/10/2026,03/10/2026,"INTEREST CHARGE ON PURCHASES",198.96,"Interest"
04/07/2026,04/07/2026,"LATE FEE",41.00,"Fees"
04/10/2026,04/10/2026,"INTEREST CHARGE ON PURCHASES",222.14,"Interest"
04/17/2026,04/17/2026,"INTERNET PAYMENT - THANK YOU",-5000.00,"Payments and Credits"
